"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
0,"World/Polski",0,2,2
0,"Business/Automotive",0,16,7
0,"Recreation/Aviation",0,61,7
0,"Computers/Software/Desktop Customization",0,14,7
0,"Shopping/Flowers",0,4,1
0,"Computers/Speech Technology",0,1,1
0,"Health/Child Health",0,11,1
0,"Business/Small Business",0,109,12
0,"Recreation/Climbing",0,2,2
0,"Computers/Software/Networking",0,197,8
0,"Computers/Software/Shareware",0,33,7
0,"Home/Home Improvement",0,2,2
0,"Business/Education and Training",0,6,4
0,"Health/Nursing",0,7,2
0,"Recreation/Guns",0,3,2
0,"Computers/Data Communications",0,11,4
0,"Shopping/Ethnic and Regional",0,1,1
0,"Society/Sexuality",0,1,1
0,"Business/Information Technology",0,47,10
0,"Business/Employment",0,147,8
0,"Games/Video Games/Action-Adventure",0,5,2
0,"Science/Reference",0,3,1
0,"Games/Video Games/Platform",0,5,2
0,"Sports/Skating",0,3,1
0,"Health/Professions",0,11,1
0,"Health/Women's Health",0,1,1
0,"Recreation/Models",0,120,6
0,"Computers/History",0,214,5
0,"Reference/Archives",0,4,3
0,"Sports/Cricket",0,2,2
0,"Computers/Programming/Internet",0,12,7
0,"Adult/Society",0,161,43
0,"Regional/Central America",0,5,2
0,"Games/Video Games/Developers and Publishers",0,27687,8
0,"Sports/Cheerleading",0,1,1
0,"Games/Video Games/Fighting",0,3,1
0,"Games/Puzzles",0,6,3
0,"Science/Science in Society",0,7,3
0,"Business/E-Commerce",0,7,3
0,"Shopping/Office Products",0,10,3
0,"Arts/Bodyart",0,1,1
0,"Arts/Genres",0,2,2
0,"Sports/Bowling",0,51,1
0,"Computers/Software/Industry-Specific",0,7,4
0,"Computers/Software/Human Resources",0,12,2
0,"Reference/Flags",0,1,1
0,"Computers/Software/Globalization",0,13,9
0,"Computers/Programming/Component Frameworks",0,1,1
0,"Computers/Internet/Chat",0,7,1
0,"Recreation/Antiques",0,4,1
0,"Computers/CAD and CAM",0,3,2
0,"Computers/Software/Business",0,97,7
0,"Science/Anomalies and Alternative Science",0,5,2
0,"Society/Work",0,10,5
0,"Business/International Business and Trade",0,15,10
0,"Business/Human Resources",0,5,2
0,"Shopping/General Merchandise",0,5,3
0,"Society/Disabled",0,23,8
0,"Computers/Programming/Methodologies",0,244,4
0,"Society/Folklore",0,21,6
0,"Computers/Consultants",0,17,3
0,"Computers/Graphics",0,204,5
0,"Games/Online",0,11,6
0,"Sports/Badminton",0,6,1
0,"Computers/Software/Document Management",0,4,2
0,"Games/Video Games/Browser Based",0,12,6
0,"Computers/Software/Project Management",0,6,2
0,"Business/News and Media",0,15,7
0,"Business/Customer Service",0,144,4
0,"Health/Pharmacy",0,1,1
0,"Business/Hospitality",0,404,12
0,"Sports/Squash",0,1,1
0,"Health/Public Health and Safety",0,7,3
0,"Computers/Software/File Management",0,171,3
0,"Computers/Artificial Life",0,20,1
0,"Computers/Programming/Personal Pages",0,17,3
0,"Computers/Computer Science/Distributed Computing",0,10,3
0,"Computers/Software/Accounting",0,13,3
0,"Arts/Magazines and E-zines",0,1,1
0,"Computers/Programming/Development Tools",0,1,1
0,"Shopping/Auctions",0,1,1
0,"Arts/Architecture",0,28,6
0,"Computers/Education",0,2,2
0,"Computers/Computer Science/Conferences",0,3,1
0,"News/Weather",0,194,5
0,"Games/Video Games/Shooter",0,45,10
0,"Shopping/Publications",0,17,10
0,"Science/Agriculture",0,14,9
0,"Computers/Software/Barcode",0,1,1
0,"Games/Video Games/Multiplayer",0,29,6
0,"Shopping/Jewelry",0,15,7
0,"Computers/Software/Marketing",0,3,2
0,"Society/Death",0,16,3
0,"Computers/Computer Science/People",0,153,3
0,"Computers/Internet/E-mail",0,372,20
0,"Sports/Volleyball",0,3,1
0,"Society/Crime",0,15,3
0,"Business/Biotechnology and Pharmaceuticals",0,6,1
0,"Games/Video Games/Sports",0,6,2
0,"Arts/Education",0,5,4
0,"Health/Reproductive Health",0,2,2
0,"Society/Holidays",0,2,2
0,"Computers/Software/Groupware",0,2,1
0,"Sports/Track and Field",0,20,5
0,"Computers/Parallel Computing",0,2,1
0,"Computers/Software/Configuration Management",0,5,2
0,"Business/Environment",0,12,5
0,"Society/Military",0,303,11
0,"Games/Video Games/Emulation",0,1,1
0,"Computers/Usenet",0,1,1
0,"Sports/Multi-Sports",0,7,1
0,"Computers/Human-Computer Interaction",0,286,2
0,"Games/Video Games/Strategy",0,40,6
0,"Business/Aerospace and Defense",0,5,4
0,"Computers/Computer Science",0,3,3
0,"Health/Senses",0,1,1
0,"Business/Materials",0,105,7
0,"Adult/Arts",0,62,3
0,"Shopping/Pets",0,44,1
0,"Computers/Internet/Commercial Services",0,7,2
